id,name,price,currency,created_at,category
SKU-1039,coat,999999.0,SEK,2024-10-15,Top Expensive
SKU-1021,ring,25000.0,SEK,2024-06-05,Top Expensive
,jacket,-200.0, SEK ,2024-13-01,Top Cheap
SKU-1015,hoodie,-50.0,SEK,2024-04-15,Top Cheap
SKU-1014,t-shirt,0.0,SEK,2024-04-10,Top Cheap
SKU-1005,,,, ,Missing/Text Price
SKU-1006,designer coat,,SEK,2024-05-01,Missing/Text Price
,hat,,SEK,,Missing/Text Price
SKU-1043,cardigan,,SEK,2024-11-15,Missing/Text Price
SKU-1052,coat,,SEK,2025-01-10,Missing/Text Price
